"region","townsize","gender","agecat","birthmonth","edcat","jobcat","union","empcat","retire","inccat","debtinc","creddebt","othdebt","default","jobsat","marital","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","hometype","addresscat","cars","carown","cartype","carcatvalue","carbought","carbuy","commute","commutecat","commutetime","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenurecat","card2","card2type","card2benefit","card2fee","card2tenurecat","carditems","card2items","active","bfast","tenure","churn","longmon","longten","tollfree","tollmon","tollten","equip","equipmon","equipten","callcard","cardmon","cardten","wireless","wiremon","wireten","multline","voice","pager","internet","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","total.card.spend"
"Zone 1","50,000-249,999","Female","18-24","September","Some college","Managerial and Professional","Yes","Less than 2","No","$25 - $49",11.1,1.2,2.24,"Yes","Highly dissatisfied","Unmarried","Not married",3,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","Less than 3",2,"Own","Domestic","Economy","No","No","Walk","Non-motorized",22,"Missing","Conservative","Yes","No","Yes","Mastercard","None","None","No","2 to 5","Other","Platinum","None","No","2 to 5",5,4,"No","Cereal",5,"Yes",6.5,34.4,"Yes",29,161.05,"Yes",29.5,126.1,"Yes",14.25,60,"No",0,0,"Yes","Yes","Yes","None","No","Yes","Yes","Yes","No","Yes",13,"Yes","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No",149.46
"Zone 5","< 2,500","Male","18-24","May","College degree","Sales and Office","No","Less than 2","No","Under $25",18.6,1.22,1.57,"Yes","Highly dissatisfied","Unmarried","Not married",2,6,0,0,0,0,0,0,6,"Own","Condominium/Townhouse","Less than 3",2,"Own","Import","Economy","No","No","Car","Single occupancy",29,"Missing","Moderate","Yes","No","No","Visa","Other","None","No","2 to 5","Discover","None","Airline miles","No","2 to 5",5,2,"Yes","Energy bar",39,"No",8.9,330.6,"No",0,0,"Yes",54.85,1975,"Yes",16,610,"Yes",45.65,1683.55,"Yes","Yes","Yes","Other","Yes","No","Yes","No","Yes","Yes",18,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No",77.54
"Zone 3","2,500-9,999","Female",">65","June","High school degree","Sales and Office","No","More than 15","No","$25 - $49",9.9,0.93,2.54,"No","Somewhat satisfied","Married","High school degree",3,3,2,1,0,0,0,0,0,"Own","Single-family","More than 25",3,"Own","Import","Economy","No","Yes","Bus","Public transportation",24,"Convenience","Slightly conservative","Yes","No","No","Visa","None","Other","No","More than 15","Discover","None","Airline miles","No","More than 15",9,7,"No","Cereal",65,"No",28.4,1858.35,"No",0,0,"No",0,0,"Yes",23,1410,"No",0,0,"Yes","No","No","None","No","No","No","No","No","Yes",21,"Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No",359.97
"Zone 4","10,000-49,999","Male","18-24","May","Some college","Sales and Office","No","Less than 2","No","Under $25",5.7,0.02,1.12,"Yes","Somewhat dissatisfied","Married","College degree",5,0,0,0,0,0,0,0,0,"Own","Condominium/Townhouse","4 to 7",3,"Own","Import","Economy","No","Yes","Car","Single occupancy",38,"Missing","Slightly liberal","No","No","No","Visa","None","Other","No","2 to 5","Mastercard","Gold","Other","No","2 to 5",17,1,"Yes","Energy bar",36,"No",6,199.45,"No",0,0,"No",0,0,"Yes",21,685,"No",0,0,"Yes","No","No","DSL","No","No","No","No","Yes","Yes",26,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No",359.41
"Zone 2","50,000-249,999","Male","25-34","July","Some college","Sales and Office","No","Less than 2","No","Under $25",1.7,0.21,0.18,"No","Highly dissatisfied","Married","High school degree",4,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","4 to 7",1,"Lease","Import","Economy","No","Yes","Other public transit","Public transportation",32,"Missing","Moderate","No","No","No","Discover","Gold","None","No","6 to 10","American Express","Platinum","Cash back","No","6 to 10",8,7,"Yes","Cereal",21,"No",3.05,74.1,"Yes",16.5,387.7,"No",0,0,"Yes",17.25,360,"Yes",19.05,410.8,"No","Yes","No","Cable modem","Yes","Yes","Yes","Yes","No","Yes",27,"Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No",507.83
"Zone 4","2,500-9,999","Male","50-64","August","College degree","Service","No","More than 15","No","$75 - $124",5.6,1.06,4.93,"No","Somewhat dissatisfied","Unmarried","Not married",1,11,1,1,0,0,2,0,7,"Own","Single-family","More than 25",0,"N/A","N/A","N/A","N/A","No","Walk","Non-motorized",23,"Missing","Moderate","No","No","No","Visa","Other","None","Yes","More than 15","Mastercard","Platinum","Cash back","Yes","6 to 10",11,0,"No","Cereal",28,"No",8.1,264.9,"Yes",26.75,726.6,"Yes",35.5,970.95,"Yes",28.25,765,"No",0,0,"No","No","Yes","None","Yes","Yes","Yes","Yes","No","Yes",21,"Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No",228.27
"Zone 2","< 2,500","Female","50-64","July","High school degree","Managerial and Professional","No","6 to 10","No","$75 - $124",1.9,0.5,0.96,"No","Somewhat dissatisfied","Unmarried","Not married",1,2,0,2,0,0,0,0,0,"Rent","Condominium/Townhouse","16 to 25",2,"Own","Domestic","Standard","Yes","No","Bus","Public transportation",32,"Missing","Moderate","No","No","No","Other","Platinum","None","Yes","2 to 5","Visa","Platinum","Other","No","2 to 5",20,5,"No","Oatmeal",15,"No",3.8,44.8,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No","No","No","Dial-up","No","No","Yes","No","No","Yes",19,"Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No",952.46
"Zone 3","2,500-9,999","Female","35-49","October","Some college","Managerial and Professional","No","11 to 15","No","$75 - $124",14.4,5.95,8.02,"No","Highly satisfied","Married","Some college",2,10,0,2,0,0,0,0,8,"Own","Condominium/Townhouse","16 to 25",1,"Own","Domestic","Luxury","No","Yes","Train/Subway","Public transportation",31,"Convenience","Conservative","No","No","Yes","American Express","None","Other","No","More than 15","Mastercard","None","Other","No","More than 15",6,7,"No","Cereal",46,"No",14.85,612.7,"Yes",24,1110.4,"No",0,0,"Yes",14.5,630,"No",0,0,"Yes","No","No","None","Yes","Yes","Yes","Yes","No","Yes",13,"Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No",1304.8
"Zone 2","10,000-49,999","Female",">65","October","High school degree","Managerial and Professional","No","11 to 15","Yes","Under $25",2.6,0.1,0.31,"No","Somewhat dissatisfied","Unmarried","Not married",1,1,1,0,0,0,0,0,0,"Own","Single-family","16 to 25",1,"Own","Import","Economy","No","No","Bus","Public transportation",25,"Missing","Slightly liberal","Yes","Yes","Yes","Mastercard","Other","Cash back","No","More than 15","Visa","Other","Airline miles","No","More than 15",12,6,"Yes","Cereal",53,"No",21.05,1074.35,"No",0,0,"No",0,0,"Yes",15.5,830,"No",0,0,"Yes","No","No","None","No","No","No","No","No","Yes",25,"Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","No",467.83
"Zone 2","50,000-249,999","Male","35-49","July","Did not complete high school","Operation, Fabrication, General Labor","No","More than 15","No","$75 - $124",4.1,1.77,1.67,"No","Somewhat satisfied","Unmarried","Not married",2,1,1,0,0,0,0,0,0,"Own","Single-family","16 to 25",4,"Own","Domestic","Luxury","Yes","No","Car","Single occupancy",29,"Missing","Slightly liberal","Yes","Yes","Yes","Other","Other","None","No","2 to 5","Visa","Gold","None","No","2 to 5",11,5,"Yes","Cereal",3,"Yes",3.65,20.05,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No","No","No","None","No","No","No","No","No","Yes",21,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No",310.81
